"","rank","name","billion"
"1"," 1","Bernard Arnault Net Worth","$190 Billion"
"2"," 2","Bill Gates Net Worth","$113 Billion"
"3"," 3","Warren Buffett Net Worth","$110 Billion"
"4"," 4","Mukesh Ambani Net Worth","$86 Billion"
"5"," 5","Carlos Slim Helu Net Worth","$85 Billion"
"6"," 6","Larry Page Net Worth","$82 Billion"
"7"," 7","Sergey Brin Net Worth","$78 Billion"
"8"," 8","Françoise Bettencourt-Meyers Net Worth","$69 Billion"
"9"," 9","Charles Koch Net Worth","$66 Billion"
"10"," 10","Julia Flesher Koch Net Worth","$65 Billion"
"11"," 11","Jim Walton Net Worth","$62 Billion"
"12"," 12","Rob Walton Net Worth","$61 Billion"
"13"," 13","Alice Walton Net Worth","$60 Billion"
"14"," 14","Jacqueline Mars Net Worth","$55 Billion"
"15"," 15","Amancio Ortega Gaona Net Worth","$50 Billion"
"16"," 16","David Thomson Net Worth","$50 Billion"
"17"," 17","Alain Wertheimer Net Worth","$45 Billion"
"18"," 18","Gerard Wertheimer Net Worth","$45 Billion"
"19"," 19","John Mars Net Worth","$42 Billion"
"20"," 20","Tadashi Yanai Net Worth","$42 Billion"
"21"," 21","Francois Pinault Net Worth","$40 Billion"
"22"," 22","Ma Huateng Net Worth","$36 Billion"
"23"," 23","Vladimir Potanin Net Worth","$35 Billion"
"24"," 24","Colin Huang Net Worth","$33 Billion"
"25"," 25","Lee Shau Kee Net Worth","$33 Billion"
"26"," 26","Len Blavatnik Net Worth","$32 Billion"
"27"," 27","Li Ka-shing Net Worth","$31 Billion"
"28"," 28","Giovanni Ferrero Net Worth","$28 Billion"
"29"," 29","Dieter Schwarz Net Worth","$27 Billion"
"30"," 30","He Xiangjian Net Worth","$27 Billion"
"31"," 31","Eric Yuan Net Worth","$25 Billion"
"32"," 32","Takemitsu Takizaki Net Worth","$24 Billion"
"33"," 33","Forrest Mars Jr Net Worth","$23.4 Billion"
"34"," 34","Jorge Paulo Lemann Net Worth","$23 Billion"
"35"," 35","James Simons Net Worth","$22 Billion"
"36"," 36","Qin Yinglin Net Worth","$22 Billion"
"37"," 37","Wang Wei Net Worth","$22 Billion"
"38"," 38","Leonard Lauder Net Worth","$21 Billion"
"39"," 39","Dan Gilbert Net Worth","$20 Billion"
"40"," 40","Leonid Mikhelson Net Worth","$20 Billion"
"41"," 41","Gennady Timchenko Net Worth","$14 Billion"
"42"," 42","Stefan Persson Net Worth","$14 Billion"
"43"," 43","Masayoshi Son Net Worth","$13 Billion"
"44"," 44","Zhang Zhidong Net Worth","$13 Billion"
"45"," 45","Yang Huiyan Net Worth","$11 Billion"
"46"," 46","Hui Ka Yan Net Worth","$7 Billion"
"47"," 47","Vagit Alekperov Net Worth","$3 Billion"
